r,φ,x,y,timestamp,J_t_ABS_Schw,J_r_ABS_Schw,J_φ_ABS_Schw,J_t_SCATT_Schw,J_r_SCATT_Schw,J_φ_SCATT_Schw,J_X_TOTAL_Schw,J_Y_TOTAL_Schw,n
27,-3.141592653589793,-27.0,-3.3065463576978537e-15,2024-09-10T12:43:21.010,-0.5121372025458432,-0.4481925973316516,-1.4263002098439303e-17,-22.08135425978245,10.385195256901792,-4.624034681369985e-14,-9.93700265957014,4.962018468652874e-16,0.9378541458747762
28,-3.141592653589793,-28.0,-3.429011037612589e-15,2024-09-10T12:43:22.342,-0.4940976543432115,-0.43079736374122435,-1.3251086930895734e-17,-22.23086828650506,10.489559452779096,-4.787386744494032e-14,-10.058762089037872,4.784111537086175e-16,0.9402207962388827
5,-2.8108986900540254,-4.7290862085031735,-1.623497346023418,2024-09-10T12:43:23.671,-3.7946487892110405,-4.713902945437455,-2.176885907662852,-9.662447895813685,-0.09120064313513346,-19.692548731678198,3.124551058389434,5.697112254309813,0.7170699889537447
6,-2.8108986900540254,-5.674903450203808,-1.9481968152281017,2024-09-10T12:43:25.360,-2.8063614564818513,-3.293790502245308,-1.204013604062893,-11.43180296667834,1.4519991270552324,-25.325269102410942,0.3063240360747883,4.780004180865554,0.734773429388453
7,-2.8108986900540254,-6.620720691904443,-2.272896284432785,2024-09-10T12:43:26.888,-2.2631365203435085,-2.537398347023315,-0.7811130646929607,-13.041512165428802,2.818628616956925,-31.0520275722063,-1.7425929907512225,4.209875148036901,0.7665108642712076
8,-2.8108986900540254,-7.566537933605077,-2.597595753637469,2024-09-10T12:43:28.394,-1.9116567435458,-2.066780256124985,-0.5542134270579098,-14.412090081063388,3.9560921873067825,-36.585812279189426,-3.294362128595819,3.7775010025548847,0.7957324402194978
9,-2.8108986900540254,-8.512355175305713,-2.922295222842153,2024-09-10T12:43:29.794,-1.662357404881355,-1.7452203436738227,-0.4164954635685801,-15.561194887131803,4.890298011381354,-41.88063207290237,-4.50065255793595,3.4238341171772952,0.8200827366952282
10,-2.8108986900540254,-9.458172417006347,-3.246994692046836,2024-09-10T12:43:31.154,-1.474800949248249,-1.5112972003774896,-0.3258392444500557,-16.526023650924444,5.6598642110797615,-46.96557101461153,-5.4593357879784925,3.1258656144007837,0.839987288499585
11,-2.8108986900540254,-10.403989658706982,-3.5716941612515196,2024-09-10T12:43:32.550,-1.3277847460583314,-1.3333136537166181,-0.2626250334301525,-17.34206184100148,6.299380116809081,-51.88283226953256,-6.236227857652093,2.8711638184447335,0.8563001792244427
12,-2.8108986900540254,-11.349806900407616,-3.8963936304562035,2024-09-10T12:43:33.935,-1.2090052903307273,-1.1932461838129942,-0.2166062535211482,-18.03855317678266,6.8364330340421295,-56.67020218641156,-6.876683129851235,2.651370579091878,0.8697962096857574
